Designator,Mid X,Mid Y,Rotation,Layer
U46,-349.725,-563.3,90.0,bottom
U47,-293.2,-534.1875,180.0,bottom
U48,-427.475,-447.4,-90.0,bottom
U49,-300.8,-500.7375,0.0,bottom
U5,-409.0,-440.0,90.0,bottom
U50,-300.82,-476.7375,0.0,bottom
U51,-293.2,-528.1875,180.0,bottom
U52,-433.55,-447.4,-90.0,bottom
U53,-300.8,-494.7375,0.0,bottom
U54,-300.82,-470.7375,0.0,bottom
U55,-293.2,-522.1875,180.0,bottom
U56,-439.55,-447.4,-90.0,bottom
U57,-300.8,-488.7375,0.0,bottom
U58,-300.82,-464.7375,0.0,bottom
U59,-300.8,-512.7375,0.0,bottom
U6,-474.055,-420.46,-90.0,bottom
U60,-293.2,-516.1875,180.0,bottom
U61,-300.8,-482.7375,0.0,bottom
U62,-317.0,-455.0,90.0,bottom
U63,-300.8,-506.7375,0.0,bottom
U64,-421.55,-447.4,-90.0,bottom
U65,-323.0,-455.0,90.0,bottom
U66,-347.0,-455.0,90.0,bottom
U67,-371.0,-455.0,90.0,bottom
U68,-395.0,-455.0,90.0,bottom
U69,-329.0,-455.0,90.0,bottom
U7,-460.0,-424.0,0.0,top
U70,-353.0,-455.0,90.0,bottom
U71,-377.0,-455.0,90.0,bottom
U72,-401.0,-455.0,90.0,bottom
U73,-335.0,-455.0,90.0,bottom
U74,-359.0,-455.0,90.0,bottom
U75,-383.0,-455.0,90.0,bottom
U76,-407.0,-455.0,90.0,bottom
U77,-341.0,-455.0,90.0,bottom
U78,-365.0,-455.0,90.0,bottom
U79,-389.0,-455.0,90.0,bottom
U8,-462.8,-461.275,0.0,bottom
U80,-413.0,-455.0,90.0,bottom
U9,-462.8,-491.275,0.0,bottom
Y1,-394.175,-501.2,-90.0,top
